time(sec)	y1	y2
0.835	-4.339	-4.038
0.835	-4.325	-4.021
0.836	-4.310	-4.004
0.837	-4.295	-3.986
0.837	-4.280	-3.969
0.838	-4.265	-3.952
0.839	-4.249	-3.934
0.840	-4.234	-3.916
0.840	-4.218	-3.898
0.841	-4.202	-3.880
0.842	-4.186	-3.862
0.842	-4.170	-3.843
0.843	-4.153	-3.825
0.845	-4.137	-3.806
0.847	-4.120	-3.787
0.848	-4.103	-3.768
0.848	-4.086	-3.749
0.849	-4.069	-3.730
0.850	-4.051	-3.710
0.851	-4.034	-3.690
